Name,Postal Code,Kind of build,Year of build
Hartmanstraat 22,2313,Bestaande bouw,1939
Kooltuin 1,1811,Bestaande bouw,1983
Sperwerstraat 4,5702,Bestaande bouw,1970
Athenelaan 12,3446,Bestaande bouw,1994
Zuid Esch 38,7622,Bestaande bouw,1991
Doctor Ariënsstraat 39,5051,Bestaande bouw,1975
Prinses Julianalaan 3,3143,Bestaande bouw,1938
Vledderschans 14,3432,Bestaande bouw,1979
De Kniepe,7934,Bestaande bouw,1979
Middenhof 17,2941,Bestaande bouw,1979
Oostering,7933,Bestaande bouw,1979
Van Mekerenstraat 7 .,6655,Bestaande bouw,1972
Lindenlaan 47,1722,Bestaande bouw,1970
Veenakker 9,9411,Bestaande bouw,1990
Nicolaas Beetsstraat 37,7442,Bestaande bouw,1968
Ligusterhaag,5091,Bestaande bouw,1968
Boulevard de Wielingen 49 P,4506,Bestaande bouw,1968
Kardinaal van Rossumplein 57,6221,Bestaande bouw,1968
Nobellaan 20 b G004,4622,Bestaande bouw,1968
Noorderpoort 61,5916,Bestaande bouw,1968
Ligusterhaag,5091,Bestaande bouw,1968
Marshallsingel 57,6414,Bestaande bouw,1968
De Opfeart,8491,Bestaande bouw,1968
Sir Winston Churchillln 370,2285,Bestaande bouw,1968
Kempstraat 20 ong,6116,Bestaande bouw,1968
Communicatielaan 15,4538,Bestaande bouw,1968
Dorpsweg 2 A,4491,Bestaande bouw,1968
Balgweg 12 d,1764,Bestaande bouw,1968
Prins Hendrikstraat 218 B,3151,Bestaande bouw,1968
Balgweg 12 b,1764,Bestaande bouw,1968
Hoogeveenseweg,7931,Bestaande bouw,1968
Provincialeweg,6141,Bestaande bouw,1968
Hofstraat 39 41,1779,Bestaande bouw,1968
Ulsderweg 9,9696,Bestaande bouw,1968
Perebomenweg 50,7916,Bestaande bouw,1968
Groote Woldweg 67 B,8097,Bestaande bouw,1968
Badhuisstraat 47 j,1789,Bestaande bouw,1968
Kanaalweg 139 A E,1782,Bestaande bouw,1968
Boschlaan 66,5993,Bestaande bouw,1968
Spangesekade 79 F,3027,Bestaande bouw,1968
Middelstraat 87 A,4641,Bestaande bouw,1968
De Vilgert,5941,Bestaande bouw,1968
Bong,5991,Bestaande bouw,1968
Nieuweweg 9,2033,Bestaande bouw,1913
Apollostraat 36,1431,Bestaande bouw,1971
Rousselpad 45,3208,Bestaande bouw,1985
Heuvel 7,5221,Bestaande bouw,1964
Wittendijk 12,5051,Bestaande bouw,1967
Wilgenlaan 38,4871,Bestaande bouw,1970
Voltastraat 2,1972,Bestaande bouw,1932
Pieter Breughelstraat 36,4625,Bestaande bouw,2004
Gaffelstraat 23,4835,Bestaande bouw,1928
Dorpstraat 22,4851,Bestaande bouw,1937
Franciscanessenstraat 7,6851,Bestaande bouw,2001
Zandweg 1,4308,Bestaande bouw,1975
Goorstraat 22,5384,Bestaande bouw,1940
